"_id","bookId","name","year","price","pages","genre","author","publisher","slug","size","description","discount","imageUrl","publicId"
"63dba6b692acc30d32a5eaab","11110030","Đàn Ông Sao Hỏa Đàn Bà Sao Kim",2019,150000,488,,,,"dan-ong-sao-h-a-dan-ba-sao-kim","14.5 x 20.5","<p><strong>Người ta thường nói rằng đàn ông và đàn bà là ""hai thái cực"" hoàn toàn khác nhau, vậy nên giữa nam giới và nữ giới luôn luôn có những sự khác biệt và thậm chí là đối lập rõ rệt. Nhưng, thực ra đàn ông và đàn bà có rất nhiều điểm chung, hiểu được điều này phụ nữ sẽ bớt nặng lòng.</strong></p><p>""Có điều gì khác biệt trong vùng não cảm xúc của đàn ông và đàn bà? Họ có thể đọc được cảm xúc của nhau và hiểu nhau đến đâu? Tại sao người ta thường đã phải cáu kỉnh, mệt mỏi, buồn phiền trong công việc, mà khi trở về nhà lại không tìm được sự chia sẻ của bạn đời? Mỗi khi người phụ nữ cáu giận, liệu có phải chỉ do lỗi của đàn ông? Còn khi người đàn ông cô đơn và muốn ở một mình, vì sao người phụ nữ lại luôn nghĩ lỗi là tại họ?</p><p>Đàn ông và đàn bà, hai cá thể độc lập, hai xu hướng giải quyết vấn đề trái ngược nhau, hai thái cực của sự phức tạp và đơn giản. Một người đàn ông nghĩ và hành động một cách nhất quán. Người phụ nữ thì không hiểu được điều đó và quy về vấn đề của trái tim, cho rằng anh ta không hiểu và không quan tâm đến cô"".</p><p><i>Những mâu thuẫn mà<strong> John Gray</strong> chỉ ra trong cuốn sách rất thường gặp trong cuộc sống hiện đại, khi con người càng cố gắng vươn tới sự toàn vẹn và hoàn hảo. Đặc biệt, khi nền tảng kinh tế và nhiều chuẩn mực trong xã hội thay đổi, mối quan hệ giữa người với người cũng thay đổi theo, trong đó có quan hệ vợ chồng.</i></p>",10,"https://res.cloudinary.com/dbynglvwk/image/upload/v1660894322/bookstore/aphumtqkibcbepdmwvtc.jpg","bookstore/aphumtqkibcbepdmwvtc"
"64181b70929948a83fd2510e","11110070","Tin Học 10 (2021)",2021,5000,280,,,,"tin-hoc-10","17 x 24 cm","<p>Sách giáo khoa <strong>Tin Học lớp 10 </strong>(Tái bản 2021)</p>",,"https://res.cloudinary.com/dbynglvwk/image/upload/v1653963551/bookstore/a7ltltre5vgpe7r1ak91.jpg","bookstore/a7ltltre5vgpe7r1ak91"
"64181bc3929948a83fd2510f","11110071","Sinh Học 7 (2021)",2021,8500,280,,,,"sinh-hoc-7","17 x 24 cm","Sách giáo khoa Sinh Học lớp 7 (Tái bản 2022)",2,"https://res.cloudinary.com/dbynglvwk/image/upload/v1653963370/bookstore/ivyh5pv8b50uqqolmwyj.jpg","bookstore/ivyh5pv8b50uqqolmwyj"
"64181be7929948a83fd25110","11110072","Lịch Sử 7 (2021)",2021,6000,280,,,,"lich-su-7","17 x 24 cm","Sách giáo khoa Lịch Sử lớp 7 (Tái bản 2021)",20,"https://res.cloudinary.com/dbynglvwk/image/upload/v1653963583/bookstore/hpfjebw8i5cygplpl5zi.jpg","bookstore/hpfjebw8i5cygplpl5zi"
"64181c0c929948a83fd25111","11110022","Tiếng Anh 10 (2021)",2021,14250,280,,,,"tieng-anh-10","17 x 24 cm","Sách giáo khoa Tiếng Anh lớp 10 (Tái bản 2021)",,"https://res.cloudinary.com/dbynglvwk/image/upload/v1653963509/bookstore/zwp8wn3os3tmzmicy8sj.jpg","bookstore/zwp8wn3os3tmzmicy8sj"
"64181c3a929948a83fd25112","11110021","Mở Cửa Tương Lai",2021,108000,284,,,,"mo-cua-tuong-lai","14 x 20.5 cm","Biết bao nền văn minh đã đến, đã qua. Biết bao mùa trăng đầy rồi lại khuyết. Trái đất vẫn quay. Thảm họa đi rồi lại đến. Và con người vẫn mãi quay cuồng trong mong cầu, giữa ranh giới mong manh của hạnh phúc, khổ đau. Ừ, thì ngày khó khăn cứ đến, ngày gian khổ sẽ qua. Chuyện của trời sẽ vẫn cứ là chuyện của trời. Chuyện của người sẽ vẫn cuốn hút, thị phi, sẽ vẫn bày ra trên chợ đời dẫu còm nhiều còm ít. Nhưng câu chuyện đời mình, mấy ai chú ý? Ta liệu có đang quên ta, quên sứ mệnh của chính mình, quên hạnh phúc đời ta? Ngoài kia, đời dẫu biến động thế nào, người dẫu hay dở ra sao, hành trình của ta liệu có thay đổi theo cuộc đời của họ?",,"https://firebasestorage.googleapis.com/v0/b/bookstore-1844d.appspot.com/o/bo21.png?alt=media&token=b0600e8d-6b3e-4d1c-8fc3-2b64d5268a7c",
"64181c61929948a83fd25113","11110018","Làm chủ bài thi MOS Excel 2016 Specialist",2019,209000,195,,,,"lam-chu-bai-thi-mos-excel-2016-specialist","13 x  20.5 cm","<p>Cuốn sách<strong> Làm chủ bài thi MOS Excel 2016 Specialist</strong> là 1 công cụ trong 6 công cụ ôn thi được xây dựng dựa trên các tiêu chuẩn của Microsoft cùng sự diễn giải dễ hiểu và phù hợp với mọi đối tượng học viên tại Việt Nam. Chúng tôi tin rằng bộ sách sẽ mang đến những kiến thức, kỹ năng cần thiết, đảm bảo độc giả tự tin vượt qua bài thi MOS Excel 2016 và hơn thế nữa là hướng đến mục tiêu làm chủ tin học văn phòng để có thể rút ngắn thời gian và nâng cao hiệu quả làm việc.</p>",,"https://firebasestorage.googleapis.com/v0/b/bookstore-1844d.appspot.com/o/bo18.png?alt=media&token=eeb7a552-43a4-4436-99ce-9521a105b6ff",
"64181c7d929948a83fd25114","11110026","Giáo Dục Công Dân 7 (2021)",2021,2000,70,,,,"giao-duc-cong-dan-7","17 x 24 cm","Sách giáo khoa Giáo Dục Công Dân lớp 7 (Tái bản 2021)",10,"https://res.cloudinary.com/dbynglvwk/image/upload/v1653929829/bookstore/qwncan9rg4rmfmqqb4s0.jpg","bookstore/qwncan9rg4rmfmqqb4s0"
"64181ca7929948a83fd25115","11110011","Tôi Thấy Hoa Vàng Trên Cỏ Xanh",2018,90700,378,,,,"toi-thay-hoa-vang-tren-co-xanh","13 x  20.5 cm","Cuốn sách viết về tuổi thơ nghèo khó ở một làng quê, bên cạnh đề tài tình yêu quen thuộc, lần đầu tiên Nguyễn Nhật Ánh đưa vào tác phẩm của mình những nhân vật phản diện và đặt ra vấn đề đạo đức như sự vô tâm, cái ác. 81 chương ngắn là 81 câu chuyện nhỏ của những đứa trẻ xảy ra ở một ngôi làng: chuyện về con cóc Cậu trời, chuyện ma, chuyện công chúa và hoàng tử, bên cạnh chuyện đói ăn, cháy nhà, lụt lội, “Tôi thấy hoa vàng trên cỏ xanh”hứa hẹn đem đến những điều thú vị với cả bạn đọc nhỏ tuổi và người lớn bằng giọng văn trong sáng, hồn nhiên, giản dị của trẻ con cùng nhiều tình tiết thú vị, bất ngờ và cảm động trong suốt hơn 300 trang sách. Cuốn sách, vì thế có sức ám ảnh, thu hút, hấp dẫn không thể bỏ qua.",10,"https://res.cloudinary.com/dbynglvwk/image/upload/v1653963421/bookstore/z0uyu6oh5gscttpyi9kj.jpg","bookstore/z0uyu6oh5gscttpyi9kj"
"64181cc2929948a83fd25116","11110014","Chúc Một Ngày Tốt Lành (Tái Bản 2019)",2019,80300,282,,,,"chuc-mot-ngay-tot-lanh","13 x 20 cm","Đọc tựa cuốn sách mới nhất của nhà văn Nguyễn Nhật Ánh là muốn mở ngay trang sách. Bạn sẽ thấy một thứ ngôn ngữ lạ của Hàn Quốc hay của nước nào tùy bạn đoán, Gô un un là Chào buổi sáng; Un gô gô là Chúc ngủ ngon, và nữa, Chiếp un un; Ăng gô gô; Chiếp chiếp gô… Sau chó Bê Tô, rồi Hai con mèo ngồi bên cửa sổ, nhà văn viết về một cặp heo. Nhân vật chính là hai con heo con, Lọ Nồi thông minh và Đeo Nơ xinh đẹp, cùng bạn chó Mõm Ngắn con chị Vện, mẹ Nái Sề, anh Đuôi Xoăn, Cánh Cụt và bọn gà chíp nhà chị Mái Hoa,… đã làm nên một câu chuyện vô cùng thú vị.",,"https://firebasestorage.googleapis.com/v0/b/bookstore-1844d.appspot.com/o/bo14.png?alt=media&token=9689d1dc-0070-4968-8fb2-a750d8480022",
